fips,% Foreign Born,Veterans,Mean Travel Time,Median Household Income,Below Poverty Level,Total Number of Firms,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Manufacturers Shipments ($1000),Retail Sales ($1000),Retail Sales per Capita,Building permits,Population per Square Mile,Bernie Sanders,Hillary Clinton,Most Votes
1001,1.6,5922,26.2,53682,12.1,4067,15.2,1.3,0.7,31.7,0,598175,12003,131,91.8,544,2387,"('Votes', 'Hillary Clinton')"
1003,3.6,19346,25.9,50221,13.9,19035,2.7,1,1.3,27.3,1410273,2966489,17166,1384,114.6,2694,5290,"('Votes', 'Hillary Clinton')"
1005,2.9,2120,24.6,32911,26.7,1667,0,0,0,27,0,188337,6334,8,31,222,2567,"('Votes', 'Hillary Clinton')"
1007,1.2,1327,27.6,36447,18.1,1385,14.9,0,0,0,0,124707,5804,19,36.8,246,942,"('Votes', 'Hillary Clinton')"
1009,4.3,4540,33.9,44145,15.8,4458,0,0,0,23.2,341544,319700,5622,3,88.9,395,564,"('Votes', 'Hillary Clinton')"
1011,5.4,636,26.9,32033,21.6,417,0,0,0,38.8,0,43810,3995,1,17.5,178,2451,"('Votes', 'Hillary Clinton')"
1013,0.8,1497,24,29918,28.4,1769,0,3.3,0,0,399132,229277,11326,2,27,156,2196,"('Votes', 'Hillary Clinton')"
1015,2.4,11385,22.5,39962,21.9,8713,7.2,1.6,0.5,24.7,2679991,1542981,13678,114,195.7,1425,5011,"('Votes', 'Hillary Clinton')"
1017,1.1,2691,24.6,32402,24.1,1981,0,0,0,29.3,667283,264650,7620,8,57.4,312,2899,"('Votes', 'Hillary Clinton')"
1019,0.7,2174,26.9,34907,21.2,2180,0,0,0,14.5,307439,186321,7613,2,46.9,268,712,"('Votes', 'Hillary Clinton')"
1021,5.2,3308,31.8,41250,19.5,0,0,0,0,0,0,359910,8496,78,63,289,860,"('Votes', 'Hillary Clinton')"
1023,0.3,938,33.4,33941,21.5,1102,26.2,0,0,44.1,0,84633,5969,0,15.2,273,1772,"('Votes', 'Hillary Clinton')"
1025,0.3,1583,25.5,29357,29.3,2374,0,0,0,28.6,571454,344311,13034,11,20.9,213,3148,"('Votes', 'Hillary Clinton')"
1027,2.2,1076,30.7,34002,19,1005,0,0,0,0,330878,70558,5123,0,23.1,135,807,"('Votes', 'Hillary Clinton')"
1029,1.5,989,31.4,38019,18.4,1280,0,0,0,17.7,0,133407,9080,1,26.7,72,221,"('Votes', 'Hillary Clinton')"
1031,5.1,6066,21.3,43768,18.6,4032,6,1.3,0.7,29.3,613758,639623,13665,58,73.6,389,1493,"('Votes', 'Hillary Clinton')"
1033,2,4376,22.7,39077,17.9,4757,0,0,0,22.8,2083166,821284,15040,143,91.8,1342,3879,"('Votes', 'Hillary Clinton')"
1035,0.6,1101,27.2,24658,32.7,980,0,0,0,23,183544,71232,5430,3,15.6,544,2031,"('Votes', 'Hillary Clinton')"
1037,1.8,934,30.2,37277,20.9,545,0,0,0,0,89585,20531,1904,0,17.7,125,1012,"('Votes', 'Hillary Clinton')"
1039,1.4,3433,23.3,35869,20,2957,0,0,0,0,561168,424873,11544,8,36.6,188,737,"('Votes', 'Hillary Clinton')"
1041,2.3,1098,30.3,36275,19.1,1027,25.8,0,0,30.2,270809,75456,5491,2,22.8,107,908,"('Votes', 'Hillary Clinton')"
1043,3,6167,26.4,38847,18.8,7873,1.1,1.1,0,23.9,1393437,867058,10757,77,109.4,723,1275,"('Votes', 'Hillary Clinton')"
1045,3.7,6730,20.9,44889,17.4,2951,0,0,0,0,114991,332503,6889,17,89.6,415,1544,"('Votes', 'Hillary Clinton')"
1047,0.8,2897,22,26519,35.5,3148,49.1,4.4,0,28.8,1174763,437359,10223,17,44.8,1774,8577,"('Votes', 'Hillary Clinton')"
1049,7.5,4371,23.3,37851,19.9,5908,0,0.6,0,25.8,1831626,635185,9303,31,91.5,667,1297,"('Votes', 'Hillary Clinton')"
1051,2.1,8364,28.2,54766,13.4,6513,9.1,0,0,28.3,766344,618313,7982,259,128.2,694,3019,"('Votes', 'Hillary Clinton')"
1053,0.6,2995,23.5,30687,25.4,2765,9,0,0,21.3,665336,379587,10089,26,40.5,226,2027,"('Votes', 'Hillary Clinton')"
1055,2.2,8638,23.9,38013,19,9147,6.1,0,0.6,25.7,1252962,1114841,10801,79,195.2,1289,4262,"('Votes', 'Hillary Clinton')"
1057,0.6,1221,27.5,33838,19.9,1378,5.1,0,0,24.3,186247,130362,7433,0,27.5,148,660,"('Votes', 'Hillary Clinton')"
1059,8.4,1860,26.2,36415,21.9,2357,0,0,0,23.2,671954,269096,8786,13,50,767,1233,"('Votes', 'Hillary Clinton')"
1061,1.8,2336,25.6,35625,21.2,1736,0,0,0,0,153342,170044,6612,8,46.6,157,544,"('Votes', 'Hillary Clinton')"
1063,0.2,502,28,24226,32.9,657,60.3,0,0,36.1,0,33639,3697,4,14,213,2714,"('Votes', 'Hillary Clinton')"
1065,1.2,995,27.1,30051,26.6,882,0,0,0,0,0,86735,4794,8,24.5,427,2426,"('Votes', 'Hillary Clinton')"
1067,2.9,1497,26,41650,14.4,1091,0,0,0,18.2,425821,92574,5559,17,30.8,163,1170,"('Votes', 'Hillary Clinton')"
1069,2.4,9254,20.8,40948,18,10151,12.1,1.4,1.3,25.5,1310677,1909615,19608,311,175.1,780,3044,"('Votes', 'Hillary Clinton')"
1071,2.2,4000,26.4,37634,16,4337,0,0,0,26.8,1525396,410988,7784,39,49.4,510,1327,"('Votes', 'Hillary Clinton')"
