fips,% Foreign Born,Veterans,Mean Travel Time,Median Household Income,Below Poverty Level,Total Number of Firms,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Manufacturers Shipments ($1000),Retail Sales ($1000),Retail Sales per Capita,Building permits,Population per Square Mile,Ben Carson,Carly Fiorina,Chris Christie,Donald Trump,Jeb Bush,John Kasich,Marco Rubio,Mike Huckabee,Rand Paul,Rick Santorum,Ted Cruz,Most Votes
1001,1.6,5922,26.2,53682,12.1,4067,15.2,1.3,0.7,31.7,0,598175,12003,131,91.8,1764,0,0,5387,0,421,1785,0,0,0,2482,"('Votes', 'Donald Trump')"
1003,3.6,19346,25.9,50221,13.9,19035,2.7,1,1.3,27.3,1410273,2966489,17166,1384,114.6,4221,0,0,23618,0,2987,9703,0,0,0,8571,"('Votes', 'Donald Trump')"
1005,2.9,2120,24.6,32911,26.7,1667,0,0,0,27,0,188337,6334,8,31,417,0,0,1710,0,123,498,0,0,0,609,"('Votes', 'Donald Trump')"
1007,1.2,1327,27.6,36447,18.1,1385,14.9,0,0,0,0,124707,5804,19,36.8,393,0,0,1959,0,84,444,0,0,0,1011,"('Votes', 'Donald Trump')"
1009,4.3,4540,33.9,44145,15.8,4458,0,0,0,23.2,341544,319700,5622,3,88.9,1523,0,0,7390,0,337,1843,0,0,0,3698,"('Votes', 'Donald Trump')"
1011,5.4,636,26.9,32033,21.6,417,0,0,0,38.8,0,43810,3995,1,17.5,47,0,0,313,0,23,64,0,0,0,94,"('Votes', 'Donald Trump')"
1013,0.8,1497,24,29918,28.4,1769,0,3.3,0,0,399132,229277,11326,2,27,377,0,0,1720,0,86,427,0,0,0,534,"('Votes', 'Donald Trump')"
1015,2.4,11385,22.5,39962,21.9,8713,7.2,1.6,0.5,24.7,2679991,1542981,13678,114,195.7,2350,0,0,8960,0,957,3251,0,0,0,3859,"('Votes', 'Donald Trump')"
1017,1.1,2691,24.6,32402,24.1,1981,0,0,0,29.3,667283,264650,7620,8,57.4,595,0,0,2169,0,168,595,0,0,0,914,"('Votes', 'Donald Trump')"
1019,0.7,2174,26.9,34907,21.2,2180,0,0,0,14.5,307439,186321,7613,2,46.9,534,0,0,2777,0,151,810,0,0,0,921,"('Votes', 'Donald Trump')"
1021,5.2,3308,31.8,41250,19.5,0,0,0,0,0,0,359910,8496,78,63,1149,0,0,5273,0,218,1436,0,0,0,2328,"('Votes', 'Donald Trump')"
1023,0.3,938,33.4,33941,21.5,1102,26.2,0,0,44.1,0,84633,5969,0,15.2,169,0,0,1070,0,68,315,0,0,0,451,"('Votes', 'Donald Trump')"
1025,0.3,1583,25.5,29357,29.3,2374,0,0,0,28.6,571454,344311,13034,11,20.9,410,0,0,2308,0,125,805,0,0,0,886,"('Votes', 'Donald Trump')"
1027,2.2,1076,30.7,34002,19,1005,0,0,0,0,330878,70558,5123,0,23.1,492,0,0,1920,0,125,505,0,0,0,836,"('Votes', 'Donald Trump')"
1029,1.5,989,31.4,38019,18.4,1280,0,0,0,17.7,0,133407,9080,1,26.7,437,0,0,2120,0,106,598,0,0,0,928,"('Votes', 'Donald Trump')"
1031,5.1,6066,21.3,43768,18.6,4032,6,1.3,0.7,29.3,613758,639623,13665,58,73.6,1368,0,0,4304,0,377,1608,0,0,0,2421,"('Votes', 'Donald Trump')"
1033,2,4376,22.7,39077,17.9,4757,0,0,0,22.8,2083166,821284,15040,143,91.8,884,0,0,3858,0,250,1443,0,0,0,1601,"('Votes', 'Donald Trump')"
1035,0.6,1101,27.2,24658,32.7,980,0,0,0,23,183544,71232,5430,3,15.6,137,0,0,768,0,17,141,0,0,0,208,"('Votes', 'Donald Trump')"
1037,1.8,934,30.2,37277,20.9,545,0,0,0,0,89585,20531,1904,0,17.7,201,0,0,1233,0,66,241,0,0,0,435,"('Votes', 'Donald Trump')"
1039,1.4,3433,23.3,35869,20,2957,0,0,0,0,561168,424873,11544,8,36.6,1275,0,0,4608,0,324,1277,0,0,0,1773,"('Votes', 'Donald Trump')"
1041,2.3,1098,30.3,36275,19.1,1027,25.8,0,0,30.2,270809,75456,5491,2,22.8,286,0,0,1496,0,70,250,0,0,0,602,"('Votes', 'Donald Trump')"
1043,3,6167,26.4,38847,18.8,7873,1.1,1.1,0,23.9,1393437,867058,10757,77,109.4,2301,0,0,10618,0,558,2832,0,0,0,4248,"('Votes', 'Donald Trump')"
1045,3.7,6730,20.9,44889,17.4,2951,0,0,0,0,114991,332503,6889,17,89.6,1150,0,0,4151,0,333,1194,0,0,0,2008,"('Votes', 'Donald Trump')"
1047,0.8,2897,22,26519,35.5,3148,49.1,4.4,0,28.8,1174763,437359,10223,17,44.8,46,0,0,523,0,23,76,0,0,0,181,"('Votes', 'Donald Trump')"
1049,7.5,4371,23.3,37851,19.9,5908,0,0.6,0,25.8,1831626,635185,9303,31,91.5,1285,0,0,6247,0,325,2837,0,0,0,2153,"('Votes', 'Donald Trump')"
1051,2.1,8364,28.2,54766,13.4,6513,9.1,0,0,28.3,766344,618313,7982,259,128.2,2630,0,0,8525,0,634,2387,0,0,0,3236,"('Votes', 'Donald Trump')"
1053,0.6,2995,23.5,30687,25.4,2765,9,0,0,21.3,665336,379587,10089,26,40.5,585,0,0,2817,0,194,1028,0,0,0,978,"('Votes', 'Donald Trump')"
1055,2.2,8638,23.9,38013,19,9147,6.1,0,0.6,25.7,1252962,1114841,10801,79,195.2,2098,0,0,8657,0,616,3155,0,0,0,3891,"('Votes', 'Donald Trump')"
1057,0.6,1221,27.5,33838,19.9,1378,5.1,0,0,24.3,186247,130362,7433,0,27.5,488,0,0,2479,0,124,663,0,0,0,1043,"('Votes', 'Donald Trump')"
1059,8.4,1860,26.2,36415,21.9,2357,0,0,0,23.2,671954,269096,8786,13,50,388,0,0,2155,0,107,562,0,0,0,892,"('Votes', 'Donald Trump')"
1061,1.8,2336,25.6,35625,21.2,1736,0,0,0,0,153342,170044,6612,8,46.6,592,0,0,3106,0,146,829,0,0,0,1517,"('Votes', 'Donald Trump')"
1063,0.2,502,28,24226,32.9,657,60.3,0,0,36.1,0,33639,3697,4,14,19,0,0,147,0,10,33,0,0,0,59,"('Votes', 'Donald Trump')"
1065,1.2,995,27.1,30051,26.6,882,0,0,0,0,0,86735,4794,8,24.5,88,0,0,590,0,24,132,0,0,0,283,"('Votes', 'Donald Trump')"
1067,2.9,1497,26,41650,14.4,1091,0,0,0,18.2,425821,92574,5559,17,30.8,436,0,0,1778,0,107,545,0,0,0,847,"('Votes', 'Donald Trump')"
1069,2.4,9254,20.8,40948,18,10151,12.1,1.4,1.3,25.5,1310677,1909615,19608,311,175.1,2310,0,0,8171,0,836,3683,0,0,0,4558,"('Votes', 'Donald Trump')"
1071,2.2,4000,26.4,37634,16,4337,0,0,0,26.8,1525396,410988,7784,39,49.4,1185,0,0,5463,0,310,1847,0,0,0,1791,"('Votes', 'Donald Trump')"
1073,4.1,46613,23.4,45429,18,55470,23.4,2.4,1.3,29.8,10260950,11066328,16730,2280,592.5,8368,0,0,32853,0,5711,23132,0,0,0,22355,"('Votes', 'Donald Trump')"
1075,0.6,1127,25.7,36028,22.3,1340,0,0,0,25.8,234908,70780,4887,0,24.1,344,0,0,1810,0,103,466,0,0,0,692,"('Votes', 'Donald Trump')"
1077,2.1,7000,24.5,42844,17.2,8317,5.5,0.8,0,27.6,1083658,1131585,12783,54,138.8,2151,0,0,7502,0,983,3320,0,0,0,3265,"('Votes', 'Donald Trump')"
1079,1,1891,27.8,38551,17.5,2289,0,0,1.1,0,0,166958,4889,0,49.7,733,0,0,3604,0,196,925,0,0,0,1204,"('Votes', 'Donald Trump')"
1081,5.1,10045,21.4,43542,22,10319,16.2,2,0,28.2,0,1451634,11099,943,230.8,2460,0,0,6934,0,1501,4734,0,0,0,4880,"('Votes', 'Donald Trump')"
1083,4.3,6964,26.3,48619,14.7,5914,4.8,0.8,1.3,25.8,947299,723200,9785,140,147.8,2061,0,0,8198,0,746,3602,0,0,0,4082,"('Votes', 'Donald Trump')"
1085,0.2,626,30.4,26230,26.7,682,57.3,0,0,35.2,1156888,103636,8184,5,15.8,88,0,0,500,0,26,83,0,0,0,137,"('Votes', 'Donald Trump')"
1087,1.1,1662,23.1,30724,27.3,1584,66.7,0,0,0,0,87509,3932,1,35.2,94,0,0,356,0,39,92,0,0,0,147,"('Votes', 'Donald Trump')"
1089,5.4,34203,21,58434,12.8,26467,12.3,3.5,1.3,29.2,8650700,4438653,14145,2677,417.7,6293,0,0,23791,0,3919,17116,0,0,0,13622,"('Votes', 'Donald Trump')"
1091,0.7,1462,22.4,35079,24,1604,0,0,0,21.4,542135,197221,9274,0,21.5,85,0,0,580,0,26,127,0,0,0,228,"('Votes', 'Donald Trump')"
1093,1,2287,24,32888,20.9,2224,0,0,0,0,794483,209924,7116,0,41.5,589,0,0,3503,0,167,921,0,0,0,1268,"('Votes', 'Donald Trump')"
1095,8,7192,23.9,39526,19.5,8700,0,0.9,1,24.9,3029491,1357696,15434,28,164.4,1813,0,0,9115,0,595,3785,0,0,0,2784,"('Votes', 'Donald Trump')"
1097,3.2,33586,23.9,43028,19.8,34836,18.8,2.4,1.2,29.5,12407151,5225494,12895,746,335.9,4824,0,0,28326,0,2893,11850,0,0,0,13458,"('Votes', 'Donald Trump')"
1099,0.9,1237,23.3,29203,28.6,2257,23.6,0,0,24.5,1251911,212618,9342,0,22.5,373,0,0,1966,0,108,596,0,0,0,658,"('Votes', 'Donald Trump')"
1101,4.3,20008,19.3,44790,21.2,21463,35.6,2.4,1.3,30.9,7956627,3238175,14351,734,292.5,3379,0,0,10517,0,1953,5570,0,0,0,4700,"('Votes', 'Donald Trump')"
1103,5.1,9518,23.7,44800,15.7,10034,5.9,1,0,21.3,0,1637628,14222,136,206.3,2790,0,0,10909,0,1109,4488,0,0,0,4828,"('Votes', 'Donald Trump')"
1105,0.5,670,26.8,28209,25.6,854,55.7,0,0,41.3,0,34121,3181,0,14.7,15,0,0,192,0,2,33,0,0,0,123,"('Votes', 'Donald Trump')"
1107,0.3,1610,29.3,28741,27.2,1268,0,0,0,10,107619,113222,5805,3,22.4,287,0,0,1124,0,65,353,0,0,0,658,"('Votes', 'Donald Trump')"
1109,4,2516,18.7,33090,27.6,2527,0,0,0,0,0,367926,12189,44,48.9,698,0,0,2493,0,172,798,0,0,0,1092,"('Votes', 'Donald Trump')"
1111,1.7,1598,26.8,35213,24.5,1550,7.1,0,0,0,401677,161410,7209,0,39.5,426,0,0,2352,0,133,584,0,0,0,942,"('Votes', 'Donald Trump')"
1113,2.2,5977,23.6,36143,22,3823,33.9,0,1,32.4,0,428236,8526,244,82.6,298,0,0,1784,0,106,463,0,0,0,1016,"('Votes', 'Donald Trump')"
1115,1.8,6928,30,50786,15.2,6061,2.4,1.4,0,28.1,985409,581324,7404,80,132.3,2093,0,0,8596,0,518,2586,0,0,0,5178,"('Votes', 'Donald Trump')"
1117,6,13991,29,68770,7.9,18393,5.7,0,2,30.5,1723017,2520488,13737,896,248.5,5005,0,0,18260,0,2679,12213,0,0,0,14005,"('Votes', 'Donald Trump')"
1119,0.9,706,23.4,22186,38,730,57.5,0,0,0,0,59636,4494,3,15.2,21,0,0,166,0,4,39,0,0,0,45,"('Votes', 'Donald Trump')"
1121,1.6,6691,23.9,35439,22.9,4872,0,1.5,0,26.6,9054200,730728,9113,65,111.7,1179,0,0,6304,0,470,1676,0,0,0,2468,"('Votes', 'Donald Trump')"
1123,1.9,3631,23.9,39130,19.8,3528,13,0,0,35,0,362304,8881,16,58.1,1006,0,0,4658,0,371,1289,0,0,0,1325,"('Votes', 'Donald Trump')"
1125,3.5,12198,21.8,45408,18.9,14729,13.3,0,0,22.5,10852479,2445850,13664,1375,147.3,3310,0,0,11652,0,1381,6333,0,0,0,7789,"('Votes', 'Donald Trump')"
1127,1.2,5353,29.3,37566,20.9,5365,0,0.6,0,23.8,314804,903643,13162,8,84.7,1369,0,0,8394,0,362,1652,0,0,0,3106,"('Votes', 'Donald Trump')"
1129,0.9,1025,31.8,42156,18.4,1288,0,0,0,25.6,1153449,76343,4458,2,16.3,152,0,0,1269,0,27,362,0,0,0,516,"('Votes', 'Donald Trump')"
1131,0.1,462,21.6,23642,39.2,928,66.2,0,0,37.6,0,75708,6018,0,13.1,44,0,0,287,0,12,64,0,0,0,114,"('Votes', 'Donald Trump')"
1133,1.1,1721,27,32900,24,2380,0,0,0,19.6,797845,166709,6853,7,39.9,539,0,0,3352,0,163,708,0,0,0,1076,"('Votes', 'Donald Trump')"
4001,1.7,4109,30,31476,36.2,3732,0,0,6.2,0,0,276872,3997,38,6.4,0,0,0,1088,0,133,0,0,0,0,938,"('Votes', 'Donald Trump')"
4003,11.6,18795,18.9,45755,17.1,8740,2.5,2.3,15.5,33,181316,1313671,10284,261,21.3,0,0,0,6339,0,876,0,0,0,0,3736,"('Votes', 'Donald Trump')"
